POPULACAO,NUM_CASOS_SEM,TAXA_INC_SEM,NUM_CASOS_MES,TAXA_INC_MES,DT_NOTIFIC,NUM_CASOS_DIARIOS,PERIODO,SURTO
1653461.0,132,7.983254518854693,749,45.29892147441034,2020-07-14,24,2020-07,1
1653461.0,132,7.983254518854693,749,45.29892147441034,2020-07-15,41,2020-07,1
1653461.0,132,7.983254518854693,749,45.29892147441034,2020-07-17,21,2020-07,1
1653461.0,132,7.983254518854693,749,45.29892147441034,2020-07-18,1,2020-07,1
1653461.0,132,7.983254518854693,749,45.29892147441034,2020-07-19,2,2020-07,1
1653461.0,183,11.067693764775825,749,45.29892147441034,2020-07-20,49,2020-07,1
1653461.0,183,11.067693764775825,749,45.29892147441034,2020-07-21,27,2020-07,1
1653461.0,183,11.067693764775825,749,45.29892147441034,2020-07-22,48,2020-07,1
1653461.0,183,11.067693764775825,749,45.29892147441034,2020-07-23,30,2020-07,1
1653461.0,183,11.067693764775825,749,45.29892147441034,2020-07-24,27,2020-07,1
1653461.0,183,11.067693764775825,749,45.29892147441034,2020-07-25,2,2020-07,1
1653461.0,182,11.007214563875412,749,45.29892147441034,2020-07-27,31,2020-07,1
1653461.0,182,11.007214563875412,749,45.29892147441034,2020-07-28,34,2020-07,1
1653461.0,182,11.007214563875412,749,45.29892147441034,2020-07-29,54,2020-07,1
1653461.0,182,11.007214563875412,749,45.29892147441034,2020-07-30,25,2020-07,1
1653461.0,182,11.007214563875412,749,45.29892147441034,2020-07-31,35,2020-07,1
1653461.0,182,11.007214563875412,498,30.118642048406343,2020-08-01,3,2020-08,1
1653461.0,154,9.313796938663808,498,30.118642048406343,2020-08-03,33,2020-08,1
1653461.0,154,9.313796938663808,498,30.118642048406343,2020-08-04,31,2020-08,1
1653461.0,154,9.313796938663808,498,30.118642048406343,2020-08-05,37,2020-08,1
1653461.0,154,9.313796938663808,498,30.118642048406343,2020-08-06,24,2020-08,1
1653461.0,154,9.313796938663808,498,30.118642048406343,2020-08-07,28,2020-08,1
1653461.0,154,9.313796938663808,498,30.118642048406343,2020-08-09,1,2020-08,1
1653461.0,133,8.043733719755108,498,30.118642048406343,2020-08-10,42,2020-08,1
1653461.0,133,8.043733719755108,498,30.118642048406343,2020-08-11,25,2020-08,1
1653461.0,133,8.043733719755108,498,30.118642048406343,2020-08-12,21,2020-08,1
1653461.0,133,8.043733719755108,498,30.118642048406343,2020-08-13,18,2020-08,1
1653461.0,133,8.043733719755108,498,30.118642048406343,2020-08-14,23,2020-08,1
1653461.0,133,8.043733719755108,498,30.118642048406343,2020-08-15,2,2020-08,1
1653461.0,133,8.043733719755108,498,30.118642048406343,2020-08-16,2,2020-08,1
1653461.0,92,5.564086482838119,498,30.118642048406343,2020-08-17,22,2020-08,1
1653461.0,92,5.564086482838119,498,30.118642048406343,2020-08-18,19,2020-08,1
1653461.0,92,5.564086482838119,498,30.118642048406343,2020-08-19,24,2020-08,1
1653461.0,92,5.564086482838119,498,30.118642048406343,2020-08-20,11,2020-08,1
1653461.0,92,5.564086482838119,498,30.118642048406343,2020-08-21,14,2020-08,1
1653461.0,92,5.564086482838119,498,30.118642048406343,2020-08-22,1,2020-08,1
1653461.0,92,5.564086482838119,498,30.118642048406343,2020-08-23,1,2020-08,1
1653461.0,94,5.685044884638948,498,30.118642048406343,2020-08-24,18,2020-08,1
1653461.0,94,5.685044884638948,498,30.118642048406343,2020-08-25,20,2020-08,1
1653461.0,94,5.685044884638948,498,30.118642048406343,2020-08-26,12,2020-08,1
1653461.0,94,5.685044884638948,498,30.118642048406343,2020-08-27,31,2020-08,1
1653461.0,94,5.685044884638948,498,30.118642048406343,2020-08-28,12,2020-08,1
1653461.0,94,5.685044884638948,498,30.118642048406343,2020-08-29,1,2020-08,1
1653461.0,83,5.019773674734391,498,30.118642048406343,2020-08-31,22,2020-08,1
1653461.0,83,5.019773674734391,317,19.17190668543135,2020-09-01,15,2020-09,1
1653461.0,83,5.019773674734391,317,19.17190668543135,2020-09-02,15,2020-09,1
1653461.0,83,5.019773674734391,317,19.17190668543135,2020-09-03,17,2020-09,1
1653461.0,83,5.019773674734391,317,19.17190668543135,2020-09-04,10,2020-09,1
1653461.0,83,5.019773674734391,317,19.17190668543135,2020-09-06,4,2020-09,1
1653461.0,59,3.568272853124446,317,19.17190668543135,2020-09-07,5,2020-09,1
1653461.0,59,3.568272853124446,317,19.17190668543135,2020-09-08,16,2020-09,1
1653461.0,59,3.568272853124446,317,19.17190668543135,2020-09-09,14,2020-09,1
1653461.0,59,3.568272853124446,317,19.17190668543135,2020-09-10,11,2020-09,1
1653461.0,59,3.568272853124446,317,19.17190668543135,2020-09-11,10,2020-09,1
1653461.0,59,3.568272853124446,317,19.17190668543135,2020-09-12,2,2020-09,1
1653461.0,59,3.568272853124446,317,19.17190668543135,2020-09-13,1,2020-09,1
1653461.0,72,4.3545024648298325,317,19.17190668543135,2020-09-14,17,2020-09,1
1653461.0,72,4.3545024648298325,317,19.17190668543135,2020-09-15,14,2020-09,1
1653461.0,72,4.3545024648298325,317,19.17190668543135,2020-09-16,8,2020-09,1
1653461.0,72,4.3545024648298325,317,19.17190668543135,2020-09-17,21,2020-09,1
1653461.0,72,4.3545024648298325,317,19.17190668543135,2020-09-18,8,2020-09,1
1653461.0,72,4.3545024648298325,317,19.17190668543135,2020-09-19,2,2020-09,1
1653461.0,72,4.3545024648298325,317,19.17190668543135,2020-09-20,2,2020-09,1
1653461.0,63,3.810189656726104,317,19.17190668543135,2020-09-21,15,2020-09,1
1653461.0,63,3.810189656726104,317,19.17190668543135,2020-09-22,14,2020-09,1
1653461.0,63,3.810189656726104,317,19.17190668543135,2020-09-23,15,2020-09,1
1653461.0,63,3.810189656726104,317,19.17190668543135,2020-09-24,12,2020-09,1
1653461.0,63,3.810189656726104,317,19.17190668543135,2020-09-25,4,2020-09,1
1653461.0,63,3.810189656726104,317,19.17190668543135,2020-09-26,2,2020-09,1
1653461.0,63,3.810189656726104,317,19.17190668543135,2020-09-27,1,2020-09,1
1653461.0,79,4.777856871132733,317,19.17190668543135,2020-09-28,11,2020-09,1
1653461.0,79,4.777856871132733,317,19.17190668543135,2020-09-29,36,2020-09,1
1653461.0,79,4.777856871132733,317,19.17190668543135,2020-09-30,15,2020-09,1
1653461.0,79,4.777856871132733,183,11.067693764775825,2020-10-01,9,2020-10,1
1653461.0,79,4.777856871132733,183,11.067693764775825,2020-10-02,7,2020-10,1
1653461.0,79,4.777856871132733,183,11.067693764775825,2020-10-03,1,2020-10,1
1653461.0,61,3.6892312549252746,183,11.067693764775825,2020-10-05,15,2020-10,1
1653461.0,61,3.6892312549252746,183,11.067693764775825,2020-10-06,15,2020-10,1
1653461.0,61,3.6892312549252746,183,11.067693764775825,2020-10-07,12,2020-10,1
1653461.0,61,3.6892312549252746,183,11.067693764775825,2020-10-08,7,2020-10,1
1653461.0,61,3.6892312549252746,183,11.067693764775825,2020-10-09,7,2020-10,1
1653461.0,61,3.6892312549252746,183,11.067693764775825,2020-10-10,3,2020-10,1
1653461.0,61,3.6892312549252746,183,11.067693764775825,2020-10-11,2,2020-10,1
1653461.0,29,1.753896826112016,183,11.067693764775825,2020-10-12,4,2020-10,1
1653461.0,29,1.753896826112016,183,11.067693764775825,2020-10-13,10,2020-10,1
1653461.0,29,1.753896826112016,183,11.067693764775825,2020-10-14,8,2020-10,1
