POPULACAO,NUM_CASOS_SEM,TAXA_INC_SEM,NUM_CASOS_MES,TAXA_INC_MES,DT_NOTIFIC,NUM_CASOS_DIARIOS,PERIODO,SURTO
1550000.0,50,3.2258064516129035,163,10.516129032258066,2021-07-05,10,2021-07,1
1550000.0,50,3.2258064516129035,163,10.516129032258066,2021-07-06,15,2021-07,1
1550000.0,50,3.2258064516129035,163,10.516129032258066,2021-07-07,13,2021-07,1
1550000.0,50,3.2258064516129035,163,10.516129032258066,2021-07-08,6,2021-07,1
1550000.0,50,3.2258064516129035,163,10.516129032258066,2021-07-09,5,2021-07,1
1550000.0,50,3.2258064516129035,163,10.516129032258066,2021-07-11,1,2021-07,1
1550000.0,36,2.32258064516129,163,10.516129032258066,2021-07-12,13,2021-07,1
1550000.0,36,2.32258064516129,163,10.516129032258066,2021-07-13,12,2021-07,1
1550000.0,36,2.32258064516129,163,10.516129032258066,2021-07-14,3,2021-07,1
1550000.0,36,2.32258064516129,163,10.516129032258066,2021-07-15,6,2021-07,1
1550000.0,36,2.32258064516129,163,10.516129032258066,2021-07-16,1,2021-07,1
1550000.0,36,2.32258064516129,163,10.516129032258066,2021-07-17,1,2021-07,1
1550000.0,35,2.258064516129032,163,10.516129032258066,2021-07-19,5,2021-07,1
1550000.0,35,2.258064516129032,163,10.516129032258066,2021-07-20,16,2021-07,1
1550000.0,35,2.258064516129032,163,10.516129032258066,2021-07-21,5,2021-07,1
1550000.0,35,2.258064516129032,163,10.516129032258066,2021-07-22,5,2021-07,1
1550000.0,35,2.258064516129032,163,10.516129032258066,2021-07-23,3,2021-07,1
1550000.0,35,2.258064516129032,163,10.516129032258066,2021-07-25,1,2021-07,1
1550000.0,26,1.6774193548387097,163,10.516129032258066,2021-07-26,7,2021-07,1
1550000.0,26,1.6774193548387097,163,10.516129032258066,2021-07-27,6,2021-07,1
1550000.0,26,1.6774193548387097,163,10.516129032258066,2021-07-28,2,2021-07,1
1550000.0,26,1.6774193548387097,163,10.516129032258066,2021-07-29,6,2021-07,1
1550000.0,26,1.6774193548387097,163,10.516129032258066,2021-07-30,4,2021-07,1
1550000.0,26,1.6774193548387097,163,10.516129032258066,2021-07-31,1,2021-07,1
1550000.0,30,1.935483870967742,114,7.35483870967742,2021-08-02,7,2021-08,1
1550000.0,30,1.935483870967742,114,7.35483870967742,2021-08-03,6,2021-08,1
1550000.0,30,1.935483870967742,114,7.35483870967742,2021-08-04,7,2021-08,1
1550000.0,30,1.935483870967742,114,7.35483870967742,2021-08-05,6,2021-08,1
1550000.0,30,1.935483870967742,114,7.35483870967742,2021-08-06,4,2021-08,1
1550000.0,17,1.096774193548387,114,7.35483870967742,2021-08-09,5,2021-08,1
1550000.0,17,1.096774193548387,114,7.35483870967742,2021-08-10,4,2021-08,1
1550000.0,17,1.096774193548387,114,7.35483870967742,2021-08-12,4,2021-08,1
1550000.0,17,1.096774193548387,114,7.35483870967742,2021-08-13,3,2021-08,1
1550000.0,17,1.096774193548387,114,7.35483870967742,2021-08-15,1,2021-08,1
1550000.0,37,2.3870967741935485,114,7.35483870967742,2021-08-16,5,2021-08,1
1550000.0,37,2.3870967741935485,114,7.35483870967742,2021-08-17,4,2021-08,1
1550000.0,37,2.3870967741935485,114,7.35483870967742,2021-08-18,20,2021-08,1
1550000.0,37,2.3870967741935485,114,7.35483870967742,2021-08-19,3,2021-08,1
1550000.0,37,2.3870967741935485,114,7.35483870967742,2021-08-20,5,2021-08,1
1550000.0,24,1.5483870967741935,114,7.35483870967742,2021-08-23,7,2021-08,1
1550000.0,24,1.5483870967741935,114,7.35483870967742,2021-08-24,3,2021-08,1
1550000.0,24,1.5483870967741935,114,7.35483870967742,2021-08-25,3,2021-08,1
1550000.0,24,1.5483870967741935,114,7.35483870967742,2021-08-26,8,2021-08,1
1550000.0,24,1.5483870967741935,114,7.35483870967742,2021-08-28,3,2021-08,1
1550000.0,11,0.7096774193548387,114,7.35483870967742,2021-08-30,2,2021-08,1
1550000.0,11,0.7096774193548387,114,7.35483870967742,2021-08-31,4,2021-08,1
1550000.0,11,0.7096774193548387,47,3.032258064516129,2021-09-01,1,2021-09,1
1550000.0,11,0.7096774193548387,47,3.032258064516129,2021-09-02,1,2021-09,1
1550000.0,11,0.7096774193548387,47,3.032258064516129,2021-09-03,3,2021-09,1
1550000.0,11,0.7096774193548387,47,3.032258064516129,2021-09-06,1,2021-09,1
1550000.0,11,0.7096774193548387,47,3.032258064516129,2021-09-08,3,2021-09,1
1550000.0,11,0.7096774193548387,47,3.032258064516129,2021-09-09,5,2021-09,1
1550000.0,11,0.7096774193548387,47,3.032258064516129,2021-09-10,2,2021-09,1
1550000.0,17,1.096774193548387,47,3.032258064516129,2021-09-13,8,2021-09,1
